DS_DATA_CURTA,HR_HORA,HORA,MINUTOS,PERÍODO,DS_RODOVIA,DS_MUNICIPIO_OCORRENCIA,SG_UF_LOCAL_OCORRENCIA,REGIÃO_OCORRENCIA,DS_TIPO_ENQTO,DS_COMPLEMENTO,CARGA_PADRÃO,QTDE OCORRÊNCIAS,,,
18/01/24,16,0.666666667,960,Tarde,163,LUCAS DO RIO VERDE,MT,Centro-Oeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
18/01/24,0,0,0,Noite,376,GUARATUBA,PR,Sul,Roubo,De Carga de Alimentos,Alimentos,1,,,
19/01/24,2,0.083333333,120,Noite,040,ITABIRITO,MG,Sudeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
19/01/24,4,0.166666667,240,Noite,381,OLIVEIRA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
19/01/24,4,0.166666667,240,Noite,381,SABARA,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
19/01/24,12,0.5,720,Tarde,381,SANTO ANTONIO DO AMPARO,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
19/01/24,17,0.708333333,1020,Tarde,116,TEOFILO OTONI,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
19/01/24,8,0.333333333,480,Manhã,364,JACIARA,MT,Centro-Oeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
19/01/24,13,0.541666667,780,Tarde,104,CARUARU,PE,Nordeste,Furto,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
19/01/24,2,0.083333333,120,Noite,376,ORTIGUEIRA,PR,Sul,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
19/01/24,20,0.833333333,1200,Noite,493,DUQUE DE CAXIAS,RJ,Sudeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
20/01/24,6,0.25,360,Manhã,116,IRAJUBA,BA,Nordeste,Furto,Saque de Carga,Saque de Carga,1,,,
20/01/24,1,0.041666667,60,Noite,010,CAROLINA,MA,Nordeste,Roubo,De Carga (Outras não relacionadas),Carga (Outras não relacionadas),1,,,
20/01/24,7,0.291666667,420,Manhã,381,CAMBUI,MG,Sudeste,Furto,De Carga de Alimentos,Alimentos,1,,,
